"field.names"
"1"	"AH.Date.From"
"2"	"AH.Date.To"
"3"	"Address"
"4"	"Address.Type"
"5"	"Administrative.Division."
"6"	"Administrative.Division.Type"
"7"	"Archaeological.From.Date"
"8"	"Archaeological.To.Date"
"9"	"Assessment.Activity.Date"
"10"	"Assessment.Activity.Type"
"11"	"Assessment.Investigator...Actor"
"12"	"BP.Date.From"
"13"	"BP.Date.To"
"14"	"Bedrock.Geology.Type"
"15"	"Built.Component"
"16"	"Cadastral.Reference"
"17"	"Construction.Technique"
"18"	"Country.Type"
"19"	"Cultural.Period.Certainty"
"20"	"Cultural.Period.Type"
"21"	"Cultural.Sub.period.Certainty"
"22"	"Cultural.Sub.period.Type"
"23"	"Damage.Extent.Type"
"24"	"Date.Inference.Making.Actor.Name"
"25"	"Datum.Description.EPSG.code"
"26"	"Datum.Type"
"27"	"Depositional.Process"
"28"	"Designation"
"29"	"Designation.From.Date"
"30"	"Designation.To.Date"
"31"	"Detailed.Condition.Assessments"
"32"	"Dimension.Type"
"33"	"Disturbance.Cause.Assignment.Assessor.Name...Actor"
"34"	"Disturbance.Cause.Category.Type"
"35"	"Disturbance.Cause.Certainty."
"36"	"Disturbance.Cause.Type."
"37"	"Disturbance.Date.From"
"38"	"Disturbance.Date.Occurred.Before"
"39"	"Disturbance.Date.Occurred.On."
"40"	"Disturbance.Date.To."
"41"	"EAMENA.ID"
"42"	"Effect.Certainty"
"43"	"Effect.Type"
"44"	"Fetch.Type"
"45"	"GE.Imagery.Acquisition.Date"
"46"	"General.Description"
"47"	"General.Description.Type"
"48"	"Geometry.Extent.Certainty"
"49"	"Geometry.Qualifier"
"50"	"Google.Earth.Assessment"
"51"	"Grid.ID"
"52"	"Heritage.Place.Function"
"53"	"Heritage.Place.Function.Certainty."
"54"	"Heritage.Place.Resource.Instance"
"55"	"Heritage.Place.Type"
"56"	"Imagery.Acquisition.Date"
"57"	"Information.Resource"
"58"	"Information.Resource.Acquisition.Date"
"59"	"Intervention.Activity.Type"
"60"	"Investigator.Role.Type"
"61"	"Land.Cover.Assessment.Date"
"62"	"Land.Cover.Type"
"63"	"Location.Certainty"
"64"	"Material.Class"
"65"	"Material.Type"
"66"	"Maximum.Depth.Min.Elevation"
"67"	"Measurement.Number"
"68"	"Measurement.Source.Type."
"69"	"Measurement.Unit"
"70"	"Minimum.Depth.Max.Elevation"
"71"	"Name.Type"
"72"	"Overall.Archaeological.Certainty.Value."
"73"	"Overall.Condition.State.Type"
"74"	"Overall.Site.Morphology.Type"
"75"	"Overall.Site.Shape.Type"
"76"	"Priority.Type"
"77"	"Recommendation.Type"
"78"	"Related.Geoarchaeology.Palaeolandscape"
"79"	"Resource.Name"
"80"	"Resource.Orientation"
"81"	"Restricted.Access.Record.Designation"
"82"	"SH.Date.From"
"83"	"SH.Date.to"
"84"	"Site.Feature.Arrangement.Type"
"85"	"Site.Feature.Form.Type"
"86"	"Site.Feature.Form.Type.Certainty"
"87"	"Site.Feature.Interpretation.Certainty"
"88"	"Site.Feature.Interpretation.Number.Type"
"89"	"Site.Feature.Interpretation.Type"
"90"	"Site.Feature.Number.Type"
"91"	"Site.Feature.Shape.Type"
"92"	"Spatial.Coordinates.Ref.System"
"93"	"Surficial.Geology.Type"
"94"	"Threat.Category"
"95"	"Threat.Cause.Type"
"96"	"Threat.Inference.Making.Assessor.Name...Actor"
"97"	"Threat.Probability."
"98"	"Tidal.Range"
"99"	"Topography.Type"
"100"	"Wave.Climate"
